stop_id,total_trips,stop_name,stop_lat,stop_lon,nearest_poi_name,nearest_poi_type,nearest_poi_distance_m
8781,2,Hanuman Chowk Ram Nagar,18.475401,73.805801,Chaitanya Centre For Psychological Help,hospital,480.0
8602,2,Lakshminagar Corner,18.4926422721534,73.8508526678451,Suman Hospital,hospital,277.0
6356,2,Lakshmi Nagar Corner,18.4924442396963,73.8498723506928,Suman Hospital,hospital,378.7
8603,2,Lakshminagar Police Chowky,18.4916476612961,73.8498267636587,Yashashree Maternity and Nursing Home,hospital,333.0
8600,2,Mile Dagad Kramank 8 Bavdhan Ghat,18.5073937976854,73.7745871314188,Centre for Developemtn Studies and Activities,university,398.2
8599,2,Mile Dagad Kramank 8 Bavdhan Ghat,18.5074141456235,73.7748714334983,Centre for Developemtn Studies and Activities,university,428.2
5817,2,Vitthal Mandir Masulkar,18.6332154147541,73.8127988576889,"Chavan hospital, Pune",hospital,420.3
5818,2,Udyam Nagri,18.635099,73.820198,"Chavan hospital, Pune",hospital,415.1
5800,2,Udyam Nagri,18.635099,73.820396,"Chavan hospital, Pune",hospital,433.3
7583,2,Mezza Nine,18.5935,73.735802,Hinjawadi Hospital,hospital,191.2
7608,2,Navin Manapa Shala,18.589676,73.815506,Pagare Hospital,hospital,135.6
7584,2,Shivaji Chowk Hinjawadi,18.591299,73.738998,Sanjeevani Hospital,hospital,57.6
7605,2,Sai Chowk Navi Sangvi,18.579439,73.815872,Laxman Jagtap Vegetable Market,marketplace,29.3
7601,2,Sai Chowk Navi Sangvi,18.580925,73.815758,Sangavi Multispecialist Hospital,hospital,7.6
7599,2,Navin Manapa Shala,18.58975,73.816803,Pagare Hospital,hospital,89.7
5277,2,Vitthal Mandir Masulkar,18.633499,73.807098,Prem Clinic and Hospital,hospital,139.8
3203,2,Mitra Nagar,18.5217818087358,73.90953540802,"Shreenath Hospital, Pune",hospital,301.6
8355,2,Shastri Nagar Kothrud,18.5044,73.804199,Sathe Multispeciality Hospital,hospital,268.7
3204,2,Bhim Nagar Jahangirnagar Road,18.5198,73.910599,Chaitanya General Hospital,hospital,404.1
3202,2,Siporex Company Main Gate,18.5238037032101,73.9096185564995,"Shreenath Hospital, Pune",hospital,423.6
7774,2,Mukbadhir Shikshan Kendr,18.5197306528589,73.8303552265533,Gokhale Institute of Politics & Economics,university,284.5
8354,2,Gurujan Society,18.505899,73.802696,Sathe Multispeciality Hospital,hospital,147.2
8361,2,Gurujan Society,18.505899,73.802498,Sathe Multispeciality Hospital,hospital,163.4
8360,2,Shastri Nagar Kothrud,18.504299,73.8041,Sathe Multispeciality Hospital,hospital,278.1
106877,2,Bahiratwadi,18.5344086409553,73.830071618057,Joglekar Hospital,hospital,418.6
7780,2,Mukbadhir Shikshan Kendr,18.5196924906494,73.8304298583748,Gokhale Institute of Politics & Economics,university,279.4
3815,2,Mandai Stand,18.5134727160639,73.8559019565582,Umarji Hospital,hospital,259.5
5107,2,Nanavare Chowk,18.5576217862772,73.7706009846387,elite hospital,hospital,72.9
5106,2,Mohannagar,18.556801,73.766998,elite hospital,hospital,463.3
2305,2,Ambedkar Society,18.553101,73.873596,Unknown,hospital,392.7
4545,2,Modern High School,18.5255431969067,73.8481819808764,Dr. Karve Childrens Hospital,hospital,210.5
4539,2,Vanaj Company,18.507401,73.800903,City Hospital,hospital,126.5
5113,2,Mohannagar,18.5564,73.767097,elite hospital,hospital,464.6
5112,2,Nanavare Chowk,18.5574914611182,73.770614393054,elite hospital,hospital,74.1
8780,2,Ram Nagar Varje,18.4762,73.805298,Chaitanya Centre For Psychological Help,hospital,380.0
807,2,Datta Mandir Srushti Chowk,18.5987622126431,73.8199174404144,Khare Dental Clinic,hospital,279.2
810,2,Sarita Sargam Society,18.6043598941569,73.8216662406922,Kand Clinic,hospital,317.0
809,2,Smashan Bhumi Kasarwadi,18.6022829488625,73.8221759016602,Kand Clinic,hospital,270.7
808,2,H Kshetriya Karyalay,18.6002874846063,73.8215938210488,Khare Dental Clinic,hospital,407.1
3182,1,Bhim Nagar Jahangirnagar Road,18.519699,73.9105,Chaitanya General Hospital,hospital,394.4
3183,1,Mitra Nagar,18.5217,73.909599,"Shreenath Hospital, Pune",hospital,306.1
3184,1,Siporex Company Main Gate,18.5238393087624,73.9095595479012,"Shreenath Hospital, Pune",hospital,422.0
2299,1,Patil Estate,18.531029,73.854637,Coep College,college,240.8
