shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_7,18.5824,73.7834,52
shape_7,18.5824,73.7834,53
shape_7,18.5863,73.781,54
shape_7,18.5863,73.781,55
shape_7,18.5882,73.7842,56
shape_7,18.5882,73.7842,57
shape_7,18.58854,73.78021,58
shape_7,18.58854,73.78021,59
shape_7,18.5896,73.77423,60
shape_7,18.5896,73.77423,61
shape_7,18.58996,73.76949,62
shape_7,18.58996,73.76949,63
shape_7,18.59233,73.76162,64
shape_7,18.59233,73.76162,65
shape_7,18.59155,73.75385,66
shape_7,18.59155,73.75385,67
shape_7,18.59084,73.74975,68
shape_7,18.59084,73.74975,69
shape_7,18.59109,73.7443,70
shape_7,18.59109,73.7443,71
shape_7,18.591,73.73887,72
shape_7,18.591,73.73887,73
shape_7,18.5882,73.73747,74
shape_7,18.5882,73.73747,75
shape_7,18.58637,73.73346,76
shape_7,18.58637,73.73346,77
shape_7,18.59034,73.7329,78
shape_7,18.59034,73.7329,79
shape_7,18.59394,73.73184,80
shape_7,18.59394,73.73184,81
shape_7,18.59446,73.72755,82
shape_7,18.59446,73.72755,83
shape_7,18.59679,73.71866,84
shape_7,18.59679,73.71866,85
shape_7,18.59577,73.71258,86
shape_7,18.59577,73.71258,87
shape_7,18.5936,73.70821,88
shape_7,18.5936,73.70821,89
shape_7,18.589,73.7053,90
shape_7,18.589,73.7053,91
shape_7,18.5868,73.7003,92
shape_7,18.5868,73.7003,93
shape_7,18.58386,73.69463,94
shape_7,18.58386,73.69463,95
shape_7,18.58279,73.69038,96
shape_7,18.58279,73.69038,97
shape_7,18.5812,73.68778,98
shape_7,18.5812,73.68778,99
shape_7,18.5769,73.68836,100
shape_10,18.508,73.7952,1
shape_10,18.50783,73.79702,2
shape_10,18.50783,73.79702,3
shape_10,18.5076,73.7997,4
shape_10,18.5076,73.7997,5
shape_10,18.5071,73.8039,6
shape_10,18.5071,73.8039,7
shape_10,18.5075,73.8075,8
shape_10,18.5075,73.8075,9
shape_10,18.50828,73.80935,10
shape_10,18.50828,73.80935,11
shape_10,18.50953,73.81251,12
shape_10,18.50953,73.81251,13
shape_10,18.50971,73.81442,14
shape_10,18.50971,73.81442,15
shape_10,18.51078,73.81849,16
shape_10,18.51078,73.81849,17
shape_10,18.5102,73.8209,18
shape_10,18.5102,73.8209,19
shape_10,18.50689,73.82385,20
shape_10,18.50689,73.82385,21
shape_10,18.5073,73.8284,22
shape_10,18.5073,73.8284,23
shape_10,18.50908,73.83202,24
shape_10,18.50908,73.83202,25
shape_10,18.5105,73.83483,26
shape_10,18.5105,73.83483,27
shape_10,18.51256,73.83905,28
shape_10,18.51256,73.83905,29
shape_10,18.5131,73.8404,30
shape_10,18.5131,73.8404,31
shape_10,18.51109,73.84552,32
shape_10,18.51109,73.84552,33
shape_10,18.50958,73.8475,34
shape_10,18.50958,73.8475,35
shape_10,18.5075,73.8509,36
shape_10,18.5075,73.8509,37
shape_10,18.5059,73.853,38
shape_10,18.5059,73.853,39
shape_10,18.50395,73.85539,40
shape_10,18.50395,73.85539,41
shape_10,18.50176,73.85773,42
shape_10,18.50176,73.85773,43
shape_10,18.49951,73.85846,44
shape_10,18.49951,73.85846,45
shape_10,18.49735,73.85815,46
shape_10,18.49735,73.85815,47
shape_10,18.4933,73.8579,48
shape_10,18.4933,73.8579,49
shape_10,18.49018,73.85767,50
shape_10,18.49018,73.85767,51
shape_10,18.48459,73.85767,52
shape_10,18.48459,73.85767,53
shape_10,18.4802,73.85732,54
shape_10,18.4802,73.85732,55
shape_10,18.47525,73.85638,56
shape_10,18.47525,73.85638,57
shape_10,18.46912,73.85768,58
shape_10,18.46912,73.85768,59
shape_10,18.46428,73.85825,60
shape_10,18.46428,73.85825,61
shape_10,18.45661,73.85861,62
shape_10,18.45661,73.85861,63
shape_10,18.4537,73.8586,64
shape_10,18.4537,73.8586,65
shape_10,18.4498,73.8583,66
shape_10,18.4498,73.8583,67
shape_10,18.4475,73.85854,68
shape_11,18.508,73.7952,1
shape_11,18.50783,73.79702,2
shape_11,18.50783,73.79702,3
shape_11,18.5076,73.7997,4
shape_11,18.5076,73.7997,5
shape_11,18.5071,73.8039,6
shape_11,18.5071,73.8039,7
shape_11,18.5075,73.8075,8
shape_11,18.5075,73.8075,9
shape_11,18.50828,73.80935,10
shape_11,18.50828,73.80935,11
shape_11,18.50953,73.81251,12
shape_11,18.50953,73.81251,13
shape_11,18.50971,73.81442,14
shape_11,18.50971,73.81442,15
shape_11,18.51078,73.81849,16
shape_11,18.51078,73.81849,17
shape_11,18.5102,73.8209,18
shape_11,18.5102,73.8209,19
shape_11,18.50689,73.82385,20
shape_11,18.50689,73.82385,21
shape_11,18.5073,73.8284,22
shape_11,18.5073,73.8284,23
shape_11,18.50908,73.83202,24
shape_11,18.50908,73.83202,25
shape_11,18.5105,73.83483,26
shape_11,18.5105,73.83483,27
shape_11,18.51256,73.83905,28
shape_11,18.51256,73.83905,29
shape_11,18.5131,73.8404,30
shape_11,18.5131,73.8404,31
shape_11,18.51109,73.84552,32
shape_11,18.51109,73.84552,33
shape_11,18.50958,73.8475,34
shape_11,18.50958,73.8475,35
shape_11,18.5075,73.8509,36
shape_11,18.5075,73.8509,37
shape_11,18.5059,73.853,38
shape_11,18.5059,73.853,39
shape_11,18.50395,73.85539,40
shape_11,18.50395,73.85539,41
shape_11,18.50176,73.85773,42
shape_11,18.50176,73.85773,43
shape_11,18.49951,73.85846,44
shape_11,18.49951,73.85846,45
shape_11,18.49735,73.85815,46
shape_11,18.49735,73.85815,47
shape_11,18.4933,73.8579,48
shape_11,18.4933,73.8579,49
shape_11,18.49018,73.85767,50
shape_11,18.49018,73.85767,51
shape_11,18.48459,73.85767,52
